Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","NSW","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Paper & cardboard","C&I","Landfill","Disposal","336819.45548122","Core waste"
"2020-2021","NSW","Paper & cardboard","C&I","Landfill","Energy recovery","59251.1426182369","Core waste"
"2020-2021","NSW","Paper & cardboard","C&I","Recycling","Recycling","691973.07599264","Core waste"
"2020-2021","NSW","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Paper & cardboard","MSW","Landfill","Disposal","463886.407528531","Core waste"
"2020-2021","NSW","Paper & cardboard","MSW","Landfill","Energy recovery","81603.955008671","Core waste"
"2020-2021","NSW","Paper & cardboard","MSW","Recycling","Recycling","272180.385758684","Core waste"
"2020-2021","NSW","Plastics","C&D","Landfill","Disposal","17768.3378092137","Core waste"
"2020-2021","NSW","Plastics","C&D","Recycling","Recycling","449.209018305737","Core waste"
"2020-2021","NSW","Plastics","C&I","Landfill","Disposal","316726.531511059","Core waste"
"2020-2021","NSW","Plastics","C&I","Recycling","Recycling","41666.977133449","Core waste"
"2020-2021","NSW","Plastics","MSW","Landfill","Disposal","279859.193284863","Core waste"
"2020-2021","NSW","Plastics","MSW","Recycling","Recycling","49242.0088350898","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","10037.9189319732","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","1805.63773514753","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&D","Recycling","Recycling","63.8689091721743","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","119234.221059558","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","21448.0521635113","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","C&I","Recycling","Recycling","2432.50848305697","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","77863.5432190616","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","14006.2250732873","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","MSW","Recycling","Recycling","1158.99012572205","Core waste"
"2020-2021","NSW","Unclassified materials","C&D","Landfill","Disposal","21958.4083499852","Core waste"
"2020-2021","NSW","Unclassified materials","C&D","Recycling","Recycling","6.31716743364131","Core waste"
"2020-2021","NSW","Unclassified materials","C&I","Landfill","Disposal","98380.4713516189","Core waste"
"2020-2021","NSW","Unclassified materials","C&I","Recycling","Recycling","17025.7884550262","Core waste"
"2020-2021","NSW","Unclassified materials","MSW","Landfill","Disposal","111422.378846589","Core waste"
"2020-2021","NSW","Unclassified materials","MSW","Recycling","Recycling","1956.62484478714","Core waste"
"2020-2021","NT","Biosolids","C&I","Other disposal","Disposal","2719.94555219582","Core waste"
"2020-2021","NT","Biosolids","C&I","Recycling","Recycling","12239.7549848812","Core waste"
"2020-2021","NT","Building and demolition materials","C&D","Landfill","Disposal","54277.4784563677","Core waste"
"2020-2021","NT","Building and demolition materials","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Building and demolition materials","C&I","Landfill","Disposal","17747.8907754231","Core waste"
"2020-2021","NT","Building and demolition materials","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Building and demolition materials","MSW","Landfill","Disposal","2051.62144772677","Core waste"
"2020-2021","NT","Building and demolition materials","MSW","Recycling","Recycling","16792","Core waste"
"2020-2021","NT","Glass","C&D","Landfill","Disposal","78.811232142899","Core waste"
"2020-2021","NT","Glass","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Glass","C&I","Landfill","Disposal","3296.14633395918","Core waste"
"2020-2021","NT","Glass","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Glass","MSW","Landfill","Disposal","6013.80063683745","Core waste"
"2020-2021","NT","Glass","MSW","Recycling","Recycling","5453","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Landfill","Disposal","27601.1884699679","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Other disposal","Disposal","0","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Recycling","Recycling","978.36431844381","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Treatment","Disposal","449.561387371394","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2020-2021","NT","Hazardous wastes","C&D","Treatment","Recycling","1750.63652421686","Core waste"
"2020-2021","NT","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","1068.69945751732","Core waste"
